player_id,player_name,team,position,gameweek,opponent_team,was_home,kickoff_time,fixture_id,minutes,goals,assists,yellow_cards,red_cards,own_goals,clean_sheets,saves,penalties_saved,penalties_missed,defensive_contribution,goals_conceded,bonus,bps,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,selected,actual_points,calculated_points
1,Raya,Arsenal,GK,1,Man Utd,False,2025-08-17T15:30:00Z,9,90,0,0,1,0,0,1,7,0,0,0,0,3,38,0.00,0.00,0.00,1.52,55,1531911,10,10
1,Raya,Arsenal,GK,2,Leeds,True,2025-08-23T16:30:00Z,11,90,0,0,0,0,0,1,1,0,0,0,0,0,28,0.00,0.00,0.00,0.17,55,2284634,6,6
1,Raya,Arsenal,GK,3,Liverpool,False,2025-08-31T15:30:00Z,25,90,0,0,0,0,0,0,2,0,0,0,1,0,12,0.00,0.02,0.02,0.52,55,2406964,2,2
1,Raya,Arsenal,GK,4,Nott'm Forest,True,2025-09-13T11:30:00Z,31,90,0,0,0,0,0,1,1,0,0,0,0,0,24,0.00,0.00,0.00,0.20,55,2765759,6,6
1,Raya,Arsenal,GK,5,Man City,True,2025-09-21T15:30:00Z,41,90,0,0,0,0,0,0,2,0,0,0,1,0,13,0.00,0.01,0.01,0.89,55,2762632,2,2
1,Raya,Arsenal,GK,6,Newcastle,False,2025-09-28T15:30:00Z,58,90,0,0,0,0,0,0,2,0,0,0,1,0,11,0.00,0.01,0.01,0.61,56,3029654,2,2
1,Raya,Arsenal,GK,7,West Ham,True,2025-10-04T14:00:00Z,61,90,0,0,0,0,0,1,0,0,0,0,0,0,20,0.00,0.00,0.00,0.49,56,3297838,6,6
1,Raya,Arsenal,GK,8,Fulham,False,2025-10-18T16:30:00Z,74,90,0,0,0,0,0,1,0,0,0,0,0,0,21,0.00,0.00,0.00,0.44,57,3447590,6,6
1,Raya,Arsenal,GK,9,Crystal Palace,True,2025-10-26T14:00:00Z,81,90,0,0,0,0,0,1,1,0,0,0,0,0,25,0.00,0.00,0.00,0.47,57,3546345,6,6
1,Raya,Arsenal,GK,10,Burnley,False,2025-11-01T15:00:00Z,92,90,0,0,0,0,0,1,0,0,0,0,0,0,20,0.00,0.00,0.00,0.42,58,3816996,6,6
1,Raya,Arsenal,GK,11,Sunderland,False,2025-11-08T17:30:00Z,108,90,0,0,0,0,0,0,0,0,0,0,2,0,-2,0.00,0.00,0.00,0.44,59,4024229,1,1
1,Raya,Arsenal,GK,12,Spurs,True,2025-11-23T16:30:00Z,111,90,0,0,0,0,0,0,1,0,0,0,1,0,6,0.00,0.00,0.00,0.07,59,4013556,2,2
1,Raya,Arsenal,GK,13,Chelsea,False,2025-11-30T16:30:00Z,123,90,0,0,0,0,0,0,3,0,0,0,1,0,12,0.00,0.00,0.00,0.79,59,3844111,3,3
1,Raya,Arsenal,GK,14,Brentford,True,2025-12-03T19:30:00Z,131,90,0,0,0,0,0,1,1,0,0,0,0,0,26,0.00,0.00,0.00,0.35,59,4109145,6,6
1,Raya,Arsenal,GK,15,Aston Villa,False,2025-12-06T12:30:00Z,141,90,0,0,0,0,0,0,4,0,0,0,2,0,13,0.00,0.00,0.00,2.16,59,4221133,2,2
1,Raya,Arsenal,GK,16,Wolves,True,2025-12-13T20:00:00Z,151,90,0,0,0,0,0,0,1,0,0,0,1,0,8,0.00,0.00,0.00,0.38,60,4668846,2,2
1,Raya,Arsenal,GK,17,Everton,False,2025-12-20T20:00:00Z,164,90,0,0,0,0,0,1,1,0,0,0,0,1,28,0.00,0.00,0.00,0.20,60,4608882,7,7
1,Raya,Arsenal,GK,18,Brighton,True,2025-12-27T15:00:00Z,171,90,0,0,0,0,0,0,2,0,0,0,1,0,11,0.00,0.00,0.00,0.85,60,4572955,2,2
1,Raya,Arsenal,GK,19,Aston Villa,True,2025-12-30T20:15:00Z,181,90,0,0,0,0,0,0,2,0,0,0,1,0,12,0.00,0.00,0.00,2.67,60,4431485,2,2
1,Raya,Arsenal,GK,20,Bournemouth,False,2026-01-03T17:30:00Z,192,90,0,0,0,0,0,0,1,0,0,0,2,0,3,0.00,0.00,0.00,1.43,60,4469007,1,1
