feature,mean_abs_shap,contribution_pct
season_xG,0.04446407426620704,40.30947025615923
season_shots,0.010932535430009086,9.91102860034761
roll10_xG,0.005022749758131174,4.553437473304008
roll3_xG,0.0033930182599688015,3.0759837213740022
season_xG_per_shot,0.0033071715047474,2.998158257034698
roll5_xG_per90,0.0025063938678130705,2.272203137750139
season_Fld,0.0021491428377292854,1.9483326870818538
roll5_xG,0.0021468005176330587,1.9462092271019165
roll5_shots,0.0020160054271873874,1.827635279595302
roll10_xG_per90,0.001976964361090561,1.7922421061497724
season_SoT,0.001703023829206191,1.5438978438620106
roll10_shots,0.001609898975432799,1.4594743270062769
opp_season_goals_conceded,0.0016029358513760998,1.4531618186119037
opp_roll5_xG_against,0.001598910591104627,1.449512667879229
roll5_goals_per90,0.0015572241597220453,1.4117213049950887
opp_season_xG_against,0.0014934007732026343,1.3538614047720716
roll5_SoT,0.0014042764051900361,1.2730645790022572
roll3_shots,0.0013760250605657155,1.2474529643532588
season_xGBuildup,0.0013637708279620917,1.23634373442326
roll5_xG_per_shot,0.001307846901782701,1.1856451901234397
season_xA,0.0012875109786417349,1.1672094011744878
roll5_xGChain,0.0011611803908210519,1.0526828051249864
roll5_Fld,0.00111064975412834,1.0068736157872094
season_PK_attempts,0.0010356657466338202,0.9388959131211911
roll5_xA,0.0008716852689429379,0.7902373320721977
days_since_last_game,0.0008116599999228357,0.7358206634219596
opp_roll5_goals_conceded,0.0007516712517884938,0.6814371032437314
season_xGChain,0.0007513721403748255,0.6811659399994378
roll10_xGChain,0.0007148493830962828,0.6480557713410692
roll3_xA,0.0007107609073280892,0.6443493117983754
roll3_minutes,0.0006936002513677516,0.628792101569102
roll10_xGBuildup,0.0006688190585569852,0.6063263970424045
roll5_minutes,0.0006426131484793607,0.5825690970144038
roll5_SoT_rate,0.0006214483231812521,0.5633818563058008
season_SoT_rate,0.0005799143800254849,0.5257287335569749
roll10_SoT,0.0005693483185448004,0.5161499365616644
roll5_key_passes,0.0005170303593043069,0.4687204273079341
roll3_SoT,0.000511313346454936,0.4635375968271713
is_primary_pen_taker,0.0004914776657181187,0.445555308971938
roll5_xGBuildup,0.0004859229884101819,0.4405196458344056
season_conversion_rate,0.00037123581926793987,0.3365485386069287
roll5_points,0.0003598174561249717,0.3261970767339148
roll5_conversion_rate,0.0003425535557880178,0.31054626900605387
roll3_key_passes,0.00031039415115581906,0.2813917530092455
roll10_goals_per90,0.00028787725443201644,0.26097877480767423
roll5_bonus,0.00027354951335776607,0.24798977948500803
roll3_points,0.0001730268274004811,0.1568596640708214
was_home_int,0.00016424335137206096,0.14889689251746477
roll3_bonus,7.26433288298414e-05,0.06585573074666139
is_backup_pen_taker,3.0764538050362584e-05,0.027889982012468312
