feature,mean_abs_shap,contribution_pct
season_xA,0.014115113329517853,19.557793122103206
season_key_passes,0.01117093412017547,15.478360917311791
season_Crs,0.01099161071874549,15.229891783182692
roll5_xA,0.005770407759517789,7.995432877950756
season_shots,0.005550479579408349,7.690702072898976
season_xG,0.003431241627361683,4.754302167702171
roll5_xG,0.0027013764720190117,3.743006588135522
roll5_shots,0.0019014486813301258,2.634632756648283
opp_season_xG_against,0.0018846638014242557,2.6113757553678285
roll5_key_passes,0.0016893970357414858,2.3408156176139605
opp_season_goals_conceded,0.0016484071259127106,2.2840203119150413
was_home_int,0.0014572486283915122,2.019152559118941
season_xGChain,0.0013398631993258516,1.8565042059941752
opp_roll5_goals_conceded,0.0013372586132879584,1.8528953114916205
roll5_Crs,0.001299747710617949,1.800920491515559
days_since_last_game,0.0011868462514308597,1.6444850927754702
roll5_xGChain,0.0011192238870386378,1.5507880616333383
opp_roll5_xG_against,0.0010795482046166687,1.495813739382279
roll5_xGBuildup,0.0009065217808915931,1.2560696494219337
roll5_minutes,0.0008787916798903681,1.217647033465827
season_xGBuildup,0.0007111686786344389,0.9853898843706242
