player_id,fpl_full_name,fpl_team,understat_id,understat_name,understat_score,needs_review_understat,review_reason_understat,fbref_id,fbref_name,fbref_score,needs_review_fbref,review_reason_fbref,needs_review,total_minutes
598,Will Lankshear,Spurs,1679,Dominic Solanke,50.0,True,low name-match confidence,Dominic Solanke,Dominic Solanke,50.0,True,low name-match confidence,True,0
594,Yang Min-hyeok,Spurs,13348,Antonín Kinsky,44.44444444444444,True,low name-match confidence,Antonín Kinský,Antonín Kinský,44.44444444444444,True,low name-match confidence,True,0
592,Mikey Moore,Spurs,10050,Micky van de Ven,44.44444444444444,True,low name-match confidence,Micky van de Ven,Micky van de Ven,44.44444444444444,True,low name-match confidence,True,0
590,Bryan Gil Salvatierra,Spurs,10184,Archie Gray,50.0,True,low name-match confidence,Archie Gray,Archie Gray,50.0,True,low name-match confidence,True,0
589,Manor Solomon,Spurs,5743,Randal Kolo Muani,53.333333333333336,True,low name-match confidence,Randal Kolo Muani,Randal Kolo Muani,53.333333333333336,True,low name-match confidence,True,0
622,Lewis Orford,West Ham,12948,Mateus Fernandes,42.85714285714286,True,low name-match confidence,Igor,Igor,51.42857142857142,True,low name-match confidence,True,0
752,Airidas Golambeckis,West Ham,8288,Tomas Soucek,45.0,True,low name-match confidence,Igor,Igor,51.42857142857142,True,low name-match confidence,True,0
509,David Mota Veiga Teixeira do Carmo,Nott'm Forest,13068,Morato,57.0,True,low name-match confidence,Morato,Morato,57.0,True,low name-match confidence,True,0
802,Keiber Lamadrid,West Ham,13247,Ezra Mayers,46.15384615384615,True,low name-match confidence,Ezra Mayers,Ezra Mayers,46.15384615384615,True,low name-match confidence,True,0
828,Alfie Brooks,Wolves,5598,Angel Gomes,43.47826086956522,True,low name-match confidence,Angel Gomes,Angel Gomes,43.47826086956522,True,low name-match confidence,True,0
778,Ethan Sutherland,Wolves,13022,André,67.5,True,low name-match confidence,André,André,67.5,True,low name-match confidence,True,0
777,Temple Ojinnaka,Wolves,10293,Toti,48.857142857142854,True,low name-match confidence,Pedro Lima,Pedro Lima,45.0,True,low name-match confidence,True,0
767,Luke Rawlings,Wolves,10945,Santiago Bueno,42.22222222222222,True,low name-match confidence,Santiago Bueno,Santiago Bueno,42.22222222222222,True,low name-match confidence,True,0
766,Saheed Olagunju,Wolves,9740,José Sá,48.857142857142854,True,low name-match confidence,José Sá,José Sá,48.857142857142854,True,low name-match confidence,True,0
658,Nathan Fraser,Wolves,13022,André,54.0,True,low name-match confidence,André,André,54.0,True,low name-match confidence,True,0
657,Leon Chiwome,Wolves,11384,João Gomes,45.45454545454546,True,low name-match confidence,João Gomes,João Gomes,45.45454545454546,True,low name-match confidence,True,0
655,Fábio Soares Silva,Wolves,13022,André,57.0,True,low name-match confidence,André,André,57.0,True,low name-match confidence,True,0
653,Joe Hodge,Wolves,9740,José Sá,65.45454545454547,True,low name-match confidence,José Sá,José Sá,65.45454545454547,True,low name-match confidence,True,0
652,Enso González Medina,Wolves,10140,Hugo Bueno,60.35294117647058,True,low name-match confidence,Hugo Bueno,Hugo Bueno,60.35294117647058,True,low name-match confidence,True,0
649,Boubacar Traoré,Wolves,13022,André,60.00000000000001,True,low name-match confidence,André,André,60.00000000000001,True,low name-match confidence,True,0
647,Gonçalo Manuel Ganchinho Guedes,Wolves,10856,Emmanuel Agbadou,56.25,True,low name-match confidence,Emmanuel Agbadou,Emmanuel Agbadou,56.25,True,low name-match confidence,True,0
641,Alfie Pond,Wolves,13022,André,51.42857142857142,True,low name-match confidence,André,André,51.42857142857142,True,low name-match confidence,True,0
639,Bastien Meupiyou Menadjou,Wolves,13484,Mateus Mané,51.42857142857142,True,low name-match confidence,Mateus Mane,Mateus Mane,51.42857142857142,True,low name-match confidence,True,0
825,Finlay Herrick,West Ham,13026,Luis Guilherme,40.714285714285715,True,low name-match confidence,Nayef Aguerd,Nayef Aguerd,46.15384615384615,True,low name-match confidence,True,0
583,Dejan Kulusevski,Spurs,5261,Kevin Danso,56.29629629629629,True,low name-match confidence,Kevin Danso,Kevin Danso,56.29629629629629,True,low name-match confidence,True,0
579,Son Heung-min,Spurs,14410,Souza,51.42857142857142,True,low name-match confidence,Souza,Souza,51.42857142857142,True,low name-match confidence,True,0
578,Luka Vušković,Spurs,13224,Callum Olusesi,44.44444444444444,True,low name-match confidence,Callum Olusesi,Callum Olusesi,44.44444444444444,True,low name-match confidence,True,0
577,Takai Kōta,Spurs,5743,Randal Kolo Muani,47.36842105263159,True,low name-match confidence,Randal Kolo Muani,Randal Kolo Muani,47.36842105263159,True,low name-match confidence,True,0
538,Zak Johnson,Sunderland,13714,Jenson Seelt,49.565217391304344,True,low name-match confidence,Jenson Seelt,Jenson Seelt,49.565217391304344,True,low name-match confidence,True,0
537,Niall Huggins,Sunderland,13720,Dan Neil,53.4375,True,low name-match confidence,Dan Neil,Dan Neil,53.4375,True,low name-match confidence,True,0
536,Leo Fuhr Hjelde,Sunderland,8651,Enzo Le Fée,46.15384615384615,True,low name-match confidence,Enzo Le Fée,Enzo Le Fée,46.15384615384615,True,low name-match confidence,True,0
534,Joe Anderson,Sunderland,13714,Jenson Seelt,49.25925925925927,True,low name-match confidence,Jenson Seelt,Jenson Seelt,49.25925925925927,True,low name-match confidence,True,0
533,Aji Alese,Sunderland,8986,Omar Alderete,54.54545454545454,True,low name-match confidence,Omar Alderete,Omar Alderete,54.54545454545454,True,low name-match confidence,True,0
530,Blondy Nna Noukeu,Sunderland,14424,Nilson Angulo,46.666666666666664,True,low name-match confidence,Nilson Angulo,Nilson Angulo,46.666666666666664,True,low name-match confidence,True,0
529,Simon Moore,Sunderland,11710,Simon Adingra,59.375,True,low name-match confidence,Simon Adingra,Simon Adingra,59.375,True,low name-match confidence,True,0
528,Anthony Patterson,Sunderland,14424,Nilson Angulo,44.33333333333333,True,low name-match confidence,Nilson Angulo,Nilson Angulo,44.33333333333333,True,low name-match confidence,True,0
841,Lamin Sillah,Nott'm Forest,725,Ola Aina,55.38461538461539,True,low name-match confidence,Ola Aina,Ola Aina,55.38461538461539,True,low name-match confidence,True,0
836,Jimmy Sinclair,Nott'm Forest,13779,Jair,77.14285714285715,True,low name-match confidence,James Mcatee,James Mcatee,61.53846153846154,True,low name-match confidence,True,0
835,Archie Whitehall,Nott'm Forest,13779,Jair,60.00000000000001,True,low name-match confidence,Jair Cunha,Jair Cunha,51.42857142857142,True,low name-match confidence,True,0
524,Marko Stamenić,Nott'm Forest,6174,Nikola Milenkovic,51.61290322580645,True,low name-match confidence,Nikola Milenković,Nikola Milenković,51.61290322580645,True,low name-match confidence,True,0
520,Lewis O'Brien,Nott'm Forest,8786,Stefan Ortega Moreno,49.090909090909086,True,low name-match confidence,Oleksandr Zinchenko,Oleksandr Zinchenko,45.16129032258065,True,low name-match confidence,True,0
514,Willy Boly,Nott'm Forest,8204,Neco Williams,49.565217391304344,True,low name-match confidence,Neco Williams,Neco Williams,49.565217391304344,True,low name-match confidence,True,0
512,Omar Richards,Nott'm Forest,10348,Omari Hutchinson,55.172413793103445,True,low name-match confidence,Omari Hutchinson,Omari Hutchinson,55.172413793103445,True,low name-match confidence,True,0
540,Timothée Pembélé,Sunderland,13713,Trai Hume,47.5,True,low name-match confidence,Trai Hume,Trai Hume,47.5,True,low name-match confidence,True,0
546,Milan Aleksić,Sunderland,13717,Chemsdine Talbi,50.0,True,low name-match confidence,Chemsdine Talbi,Chemsdine Talbi,50.0,True,low name-match confidence,True,0
550,Ian Poveda-Ocampo,Sunderland,13720,Dan Neil,45.0,True,low name-match confidence,Dan Neil,Dan Neil,45.0,True,low name-match confidence,True,0
564,Nazarii Rusyn,Sunderland,925,Patrick Roberts,42.85714285714286,True,low name-match confidence,Patrick Roberts,Patrick Roberts,42.85714285714286,True,low name-match confidence,True,0
